,NAME,Batting style,Runs,Balls Faced,Dismissals,Batting Average,Batting Strike Rate
368,Bandaru Ayyappa,Right-hand bat,0,0,0,,
369,Vaibhav Rawal,Left-hand bat,0,0,0,,
370,DR Shorey,Right-hand bat,13,17,2,6.5,76.47058823529412
371,AS Rajpoot,Right-hand bat,26,41,5,5.2,63.41463414634146
372,S Sandeep Warrier,Right-hand bat,0,0,0,,
373,Umang Sharma,Right-hand bat,0,0,0,,
374,N Rana,Left-hand bat,1437,1060,52,27.634615384615383,135.56603773584905
375,Ankush Bains,Right-hand bat,0,0,0,,
376,Chama Milind,Left-hand bat,0,0,0,,
377,R Karthikeyan,Left-hand bat,0,0,0,,
378,Royston Dias,Left-hand bat,0,0,0,,
379,HH Pandya,Right-hand bat,1349,847,45,29.977777777777778,159.2680047225502
380,Kshitiz Sharma,Right-hand bat,0,0,0,,
381,JJ Bumrah,Right-hand bat,40,41,3,13.333333333333334,97.5609756097561
382,Shelley Shaurya,Right-hand bat,0,0,0,,
383,Saurabh Kumar,Left-hand bat,0,0,0,,
384,Kumar Boresa,Right-hand bat,0,0,0,,
385,Chaitanya Bishnoi,Left-hand bat,0,0,0,,
386,Javed Khan,Right-hand bat,0,0,0,,
387,SS Iyer,Right-hand bat,2200,1745,70,31.428571428571427,126.07449856733524
388,SN Khan,Right-hand bat,441,315,17,25.941176470588236,140.0
389,RK Bhui,Right-hand bat,7,17,2,3.5,41.1764705882353
390,Pankaj Jaiswal,Right-hand bat,0,0,0,,
391,Monu Kumar,Right-hand bat,0,0,0,,
392,Avesh Khan,Right-hand bat,0,0,0,,
393,NA Saini,Right-hand bat,29,31,2,14.5,93.54838709677419
394,S Dube,Left-hand bat,169,138,10,16.9,122.46376811594203
395,Shivam Sharma,Right-hand bat,0,0,0,,
396,Pratyush Singh,Right-hand bat,0,0,0,,
397,Washington Sundar,Left-hand bat,0,0,0,,
398,Ishan Kishan,Left-hand bat,0,0,0,,
399,Jitesh Sharma,Right-hand bat,0,0,0,,
400,RK Singh,Left-hand bat,77,76,7,11.0,101.3157894736842
401,Aditya Garhwal,Right-hand bat,0,0,0,,
402,Sharad Lumba,Right-hand bat,0,0,0,,
403,Basil Thampi,Right-hand bat,0,0,0,,
404,Vishnu Vinod,Right-hand bat,0,0,0,,
405,Sayan Ghosh,Right-hand bat,0,0,0,,
406,P Dubey,Right-hand bat,7,13,0,,53.84615384615385
407,KC Cariappa,Right-hand bat,24,21,3,8.0,114.28571428571429
408,Tanmay Agarwal,Left-hand bat,0,0,0,,
409,T Natarajan,Left-hand bat,3,5,0,,60.0
410,Himmat Singh,Right-hand bat,0,0,0,,
411,Deepak Punia,Right-hand bat,0,0,0,,
412,TU Deshpande,Right-hand bat,21,12,1,21.0,175.0
413,MD Nidheesh,Right-hand bat,0,0,0,,
414,Kanishk Seth,Right-hand bat,0,0,0,,
415,Anmolpreet Singh,Right-hand bat,0,0,0,,
416,NB Singh,Right-hand bat,0,0,0,,
417,MK Lomror,Left-hand bat,87,78,5,17.4,111.53846153846153
418,Sagar Trivedi,Left-hand bat,0,0,0,,
419,KK Jiyas,Right-hand bat,0,0,0,,
420,M Prasidh Krishna,Right-hand bat,0,0,0,,
421,S Kaushik,Right-hand bat,0,1,1,0.0,0.0
422,Kishore Kamath,Right-hand bat,0,0,0,,
423,RR Pant,Left-hand bat,2079,1368,59,35.23728813559322,151.97368421052633
424,Mohammed Siraj,Right-hand bat,0,0,0,,
425,Mayank Dagar,Right-hand bat,0,0,0,,
426,KK Ahmed,Right-hand bat,0,3,2,0.0,0.0
427,Armaan Jaffer,Right-hand bat,0,0,0,,
428,Milind Tandon,Right-hand bat,0,0,0,,
429,N Jagadeesan,Right-hand bat,33,29,2,16.5,113.79310344827586
430,Sanjay Yadav,Left-hand bat,0,0,0,,
431,RD Gaikwad,Right-hand bat,204,169,4,51.0,120.71005917159763
432,RD Chahar,Right-hand bat,17,17,2,8.5,100.0
433,PP Shaw,Right-hand bat,826,591,38,21.736842105263158,139.76311336717427
434,Shubman Gill,Right-hand bat,0,0,0,,
435,PK Garg,Right-hand bat,133,111,9,14.777777777777779,119.81981981981981
436,Abhishek Sharma,Left-hand bat,0,0,0,,
437,KL Nagarkoti,Right-hand bat,22,31,3,7.333333333333333,70.96774193548387
438,R Parag,Right-hand bat,246,203,12,20.5,121.18226600985221
439,SS Agarwal,Right-hand bat,0,0,0,,
440,AS Roy,Left-hand bat,0,0,0,,
441,Manjot Kalra,Left-hand bat,0,0,0,,
442,Shivam Mavi,Right-hand bat,0,0,0,,
443,Tajinder Singh,Right-hand bat,0,0,0,,
444,Manzoor Dar,Right-hand bat,0,0,0,,
445,M Markande,Right-hand bat,27,29,3,9.0,93.10344827586206
446,Tejas Baroka,Right-hand bat,0,0,0,,
447,KM Asif,Right-hand bat,0,0,0,,
448,K Khejroliya,Left-hand bat,0,0,0,,
449,Ankit Soni,Right-hand bat,0,0,0,,
450,Pratham Singh,Left-hand bat,0,0,0,,
451,Agnivesh Ayachi,Right-hand bat,0,0,0,,
