,NAME,Bowling style,Balls Bowled,Wickets Taken,Runs Conceded,Bowling Average,Bowling Strike Rate,Bowling Economy Rate
359,Jaskaran Singh,Left-arm medium,0,0,0,,,0.0
360,AR Patel,Slow left-arm orthodox,2019,80,2502,31.275,25.2375,7.435364041604755
361,VH Zol,Right-arm offbreak,0,0,0,,,0.0
362,NS Naik,,0,0,0,,,0.0
363,Shubham Ranjane,Right-arm medium,0,0,0,,,0.0
364,Kuldeep Yadav,Slow left-arm chinaman,0,0,0,,,0.0
365,Zafir Patel,Right-arm medium-fast,0,0,0,,,0.0
366,S Thiyagarajan,Right-arm medium,0,0,0,,,0.0
367,PV Tambe,Legbreak,660,28,866,30.928571428571427,23.571428571428573,7.872727272727273
368,Bandaru Ayyappa,Right-arm medium,0,0,0,,,0.0
369,Vaibhav Rawal,Legbreak googly,0,0,0,,,0.0
370,DR Shorey,Right-arm offbreak,0,0,0,,,0.0
371,AS Rajpoot,Right-arm medium,530,24,844,35.166666666666664,22.083333333333332,9.554716981132076
372,S Sandeep Warrier,Right-arm medium,0,0,0,,,0.0
373,Umang Sharma,Right-arm offbreak,0,0,0,,,0.0
374,N Rana,Right-arm offbreak,103,7,143,20.428571428571427,14.714285714285714,8.330097087378642
375,Ankush Bains,,0,0,0,,,0.0
376,Chama Milind,Left-arm medium,0,0,0,,,0.0
377,R Karthikeyan,Slow left-arm orthodox,0,0,0,,,0.0
378,Royston Dias,Left-arm medium,0,0,0,,,0.0
379,HH Pandya,Right-arm medium-fast,869,42,1340,31.904761904761905,20.69047619047619,9.252013808975834
380,Kshitiz Sharma,Right-arm offbreak,0,0,0,,,0.0
381,JJ Bumrah,Right-arm fast-medium,2092,109,2655,24.357798165137616,19.192660550458715,7.61472275334608
382,Shelley Shaurya,Right-arm medium,0,0,0,,,0.0
383,Saurabh Kumar,Slow left-arm orthodox,0,0,0,,,0.0
384,Kumar Boresa,Slow left-arm orthodox,0,0,0,,,0.0
385,Chaitanya Bishnoi,Slow left-arm orthodox,0,0,0,,,0.0
386,Javed Khan,Right-arm fast-medium,0,0,0,,,0.0
387,SS Iyer,Legbreak googly,0,0,0,,,0.0
388,SN Khan,Legbreak,2,0,6,inf,inf,18.0
389,RK Bhui,Legbreak googly,0,0,0,,,0.0
