,NAME,COUNTRY,Full name,Major teams,Batting style,Bowling style,sname,foreign,Bat,Bowl,Spin/Medium
349,NLTC Perera,Sri Lanka,Narangoda Liyanaarachchilage Thisara Chirantha Perera,"['Sri Lanka,', 'Chennai Super Kings,', 'Colts Cricket Club,', 'Gloucestershire,', 'Guyana Amazon Warriors,', 'ICC World XI,', 'Kings XI Punjab,', 'Kochi Tuskers Kerala,', 'Melbourne Renegades,', 'Montreal Tigers,', 'Multan Sultans,', 'Mumbai Indians,', 'Quetta Gladiators,', 'Rising Pune Supergiants,', 'Sri Lanka A,', 'Sri Lanka Under-19s,', 'St Kitts and Nevis Patriots,', 'Sunrisers Hyderabad,', 'Wayamba,', 'World-XI']",Left-hand bat,Right-arm medium-fast,NLTC Perera,1,Left,Right,medium
350,RA Jadeja,India,Ravindrasinh Anirudhsinh Jadeja,"['India,', 'Chennai Super Kings,', 'Gujarat Lions,', 'India Under-19s,', 'Kochi Tuskers Kerala,', 'Rajasthan Royals,', 'Saurashtra,', 'West Zone']",Left-hand bat,Slow left-arm orthodox,RA Jadeja,0,Left,Right,slow
351,Puneet Bisht,India,Puneet Bisht,"['Delhi,', 'Delhi Daredevils,', 'Jammu & Kashmir,', 'Meghalaya']",Right-hand bat,,P Bisht,0,Right,Right,
352,AP Dole,India,Aditya Pradip Dole,"['Maharashtra,', 'Rajasthan Royals']",Right-hand bat,Right-arm medium-fast,AP Dole,0,Right,Right,medium
353,Rajesh Bishnoi,India,Rajesh Bishnoi,"['Rajasthan,', 'Royal Challengers Bangalore']",Right-hand bat,Right-arm medium-fast,R Bishnoi,0,Right,Right,medium
354,I Sharma,India,Ishant Sharma,"['India,', 'Deccan Chargers,', 'Delhi,', 'Delhi Daredevils,', 'India Red,', 'Kings XI Punjab,', 'Kolkata Knight Riders,', 'North Zone,', 'Rising Pune Supergiants,', 'Sunrisers Hyderabad']",Right-hand bat,Right-arm fast-medium,I Sharma,0,Right,Right,medium
355,H Das,India,Halhadar Das,"['Deccan Chargers,', 'Orissa']",Right-hand bat,,H Das,0,Right,Right,
356,M Vijay,India,Murali Vijay,"['India,', 'Chennai Super Kings,', 'Delhi Daredevils,', 'Kings XI Punjab,', 'Lyca Kovai Kings,', 'Tamil Nadu']",Right-hand bat,Right-arm offbreak,M Vijay,0,Right,Right,off
357,Jalaj Saxena,India,Jalaj Sahai Saxena,"['Central Zone,', 'Delhi Daredevils,', 'India A,', 'Madhya Pradesh,', 'Mumbai Indians,', 'Royal Challengers Bangalore']",Right-hand bat,Right-arm offbreak,JS Saxena,0,Right,Right,off
358,SP Jackson,India,Sheldon Philip Jackson,"['Kolkata Knight Riders,', 'Royal Challengers Bangalore,', 'Saurashtra']",Right-hand bat,,SP Jackson,0,Right,Right,
359,DB Ravi Teja,India,Dwaraka Bhamidipati Ravi Teja,"['Deccan Chargers,', 'Hyderabad (India),', 'India A,', 'India Under-19s,', 'South Zone,', 'Sunrisers Hyderabad']",Right-hand bat,Legbreak googly,DBR Teja,0,Right,Right,leg
360,Kshemal Waingankar,India,Kshemal Makarand Waingankar,"[""Cricket Club of India President's XI,"", 'Kolkata Knight Riders,', 'Mumbai']",Right-hand bat,Right-arm medium-fast,KM Waingankar,0,Right,Right,medium
361,MB Parmar,India,Mohnish Bipinbhai Parmar,"['Gujarat,', 'India Under-19s,', 'Kolkata Knight Riders']",Right-hand bat,Right-arm offbreak,MB Parmar,0,Right,Right,off
362,HF Gurney,England,Harry Frederick Gurney,"['England,', 'England Lions,', 'Kolkata Knight Riders,', 'Leeds/Bradford MCCU,', 'Leicestershire,', 'Leicestershire 2nd XI,', 'Marylebone Cricket Club,', 'Melbourne Renegades,', 'Nottinghamshire,', 'Nottinghamshire 2nd XI,', 'Quetta Gladiators']",Right-hand bat,Left-arm fast-medium,HF Gurney,1,Right,Left,medium
363,CR Woakes,England,Christopher Roger Woakes,"['England,', 'England Lions,', 'England Under-19s,', 'Herefordshire,', 'Kolkata Knight Riders,', 'Marylebone Cricket Club,', 'Royal Challengers Bangalore,', 'Sydney Thunder,', 'Warwickshire,', 'Wellington']",Right-hand bat,Right-arm fast-medium,CR Woakes,1,Right,Right,medium
364,AD Hales,England,Alexander Daniel Hales,"['England,', 'Buckinghamshire,', 'Duronto Rajshahi,', 'England Lions,', 'Islamabad United,', 'Melbourne Renegades,', 'Mumbai Indians,', 'Nottinghamshire,', 'Nottinghamshire 2nd XI,', 'Sunrisers Hyderabad,', 'Worcestershire']",Right-hand bat,Right-arm medium,AD Hales,1,Right,Right,medium
